ID,Name,Team,Abbreviation,Sport
1,Atlanta Hawks,Hawks,ATL,NBA
2,Boston Celtics,Celtics,BOS,NBA
3,Brooklyn Nets,Nets,BKN,NBA
4,Charlotte Bobcats,Bobcats,CHA,NBA
5,Chicago Bulls,Bulls,CHI,NBA
6,Cleveland Cavaliers,Cavaliers,CLE,NBA
7,Dallas Mavericks,Mavericks,DAL,NBA
8,Denver Nuggets,Nuggets,DEN,NBA
9,Detroit Pistons,Pistons,DET,NBA
10,Golden State Warriors,Warriors,GS,NBA
11,Houston Rockets,Rockets,HOU,NBA
12,Indiana Pacers,Pacers,IND,NBA
13,Los Angeles Clippers,Clippers,LAC,NBA
14,Los Angeles Lakers,Lakers,LAL,NBA
15,Memphis Grizzlies,Grizzlies,MEM,NBA
16,Miami Heat,Heat,MIA,NBA
17,Milwaukee Bucks,Bucks,MIL,NBA
18,Minnesota Timberwolves,Timberwolves,MIN,NBA
19,New Orleans Pelicans,Pelicans,NO,NBA
20,New York Knicks,Knicks,NY,NBA
21,Oklahoma City Thunder,Thunder,OKC,NBA
22,Orlando Magic,Magic,ORL,NBA
23,Philadelphia 76ers,76ers,PHI,NBA
24,Phoenix Suns,Suns,PHX,NBA
25,Portland Trail Blazers,Trail Blazers,POR,NBA
26,Sacramento Kings,Kings,SAC,NBA
27,San Antonio Spurs,Spurs,SA,NBA
28,Toronto Raptors,Raptors,TOR,NBA
29,Utah Jazz,Jazz,UTA,NBA
30,Washington Wizards,Wizards,WSH,NBA
